id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,pemilik_menara,lokasi_menara,long,lat,struktur_tower,tinggi_tower,keterangan,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,TOWER BERSAMA GROUP,JL. GEDEBAGE SELATAN,107.687346,-6.952163,4 KAKI,72,-,METER,2017
2,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,NATRINDO TELEPON SELULER,JL. GEDEBAGE RANCABOLANG,107.686927,-6.95375,3 KAKI,42,-,METER,2017
3,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,TOWER BERSAMA GROUP,JL. RANCANUMPANG RT 05/07,107.704759,-6.964942,4 KAKI,65,-,METER,2017
4,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,XL AXIATA,JL. CIMENCRANG RT 04/04,107.70841,-6.944872,3 KAKI,32,-,METER,2017
5,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,TOWER BERSAMA GROUP,KP. PANYILEUKAN RT 03/01,107.715687,-6.938283,4 KAKI,42,-,METER,2017
6,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,XL AXIATA,JL. SOEKARNO HATTA NO.754,107.710083,-6.936429,POLE ROOFTOP,3,-,METER,2017
7,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,PROTELINDO,JL. MEKARMULYA,107.699515,-6.935509,MONOPOLE,42,-,METER,2017
8,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,PROTELINDO,JL. GEMPOL NO.2,107.705084,-6.930326,3 KAKI,31,-,METER,2017
9,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,NATRINDO TELEPON SELULER,JL. H. NASUTION,107.709813,-6.924835,3 KAKI,32,-,METER,2017
10,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,TELKOM,JL. H. NASUTION KM. 12.5,107.709469,-6.922147,4 KAKI,62,-,METER,2017
11,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,XL AXIATA,KP. MEKARSARI RT 01/01,107.710183,-6.92269,3 KAKI,32,-,METER,2017
12,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,TOWER BERSAMA GROUP,JL. SINDANG SARI VI,107.700455,-6.920664,4 KAKI,42,-,METER,2017
13,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,DAYA MITRA TELEKOMUNIKASI,JL. PASAR INDUK GEDEBAGE RT 04/06,107.69657,-6.931005,MONOPOLE,30,-,METER,2017
14,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,IBS,JL. BELAKANG PASAR INDUK GEDEBAGE,107.700323,-6.929948,3 KAKI,42,-,METER,2017
15,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,XL AXIATA,JL. GEDE BAGE SELATAN,107.687366,-6.964429,4 KAKI,32,-,METER,2017
16,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,PT. GLOBAL INDONESIA,JL. PINUS X,107.696735,-6.96662,KAMUFLASE MINARET DI MASJID,32,-,METER,2017
17,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,NATRINDO TELEPON SELULER,JL. DERWATI RT 05/05,107.684744,-6.965642,3 KAKI,32,-,METER,2017
18,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,TELKOMSEL,JL. TERUSAN SALUYU,107.67029,-6.950355,MONOPOLE,25,-,METER,2017
