FID,ogc_fid,site_id,lat,long,jen_men,tinggi,jen_kons,geometry
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.1,1,MPW012,-0.172583,109.434944,Green Field,62,4 KAKI,POINT (109.434944444444 -0.172583333333333)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.2,2,MPW013,-0.056306,109.194222,Green Field,72,4 KAKI,POINT (109.194222222222 -0.0563055555555556)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.3,3,PTK016,-0.090778,109.349056,Green Field,72,4 KAKI,POINT (109.349055555556 -0.0907777777777778)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.4,4,MPW015,-0.110944,109.409833,Green Field,42,4 KAKI,POINT (109.409833333333 -0.110944444444444)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.5,5,MPW018,-0.062167,109.255444,Green Field,72,4 KAKI,POINT (109.255444444444 -0.0621666666666667)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.6,6,PTK049,-0.067611,109.37125,Green Field,42,4 KAKI,POINT (109.37125 -0.0676111111111111)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.7,7,MPW017,-0.093222,109.393278,Green Field,42,4 KAKI,POINT (109.393277777778 -0.0932222222222222)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.8,8,MPW020,-0.075167,109.364778,Green Field,42,4 KAKI,POINT (109.364777777778 -0.0751666666666667)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.9,9,MPW030,-0.126639,109.246806,Green Field,62,4 KAKI,POINT (109.246805555556 -0.126638888888889)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.10,10,MPW031,-0.296972,109.567278,Green Field,72,4 KAKI,POINT (109.567277777778 -0.296972222222222)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.11,11,MPW022,-0.695139,109.264361,Green Field,72,4 KAKI,POINT (109.26436111111111 -0.6951388888888889)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.12,12,MPW021,-0.491889,109.377444,,72,4 KAKI,POINT (109.37744444444444 -0.4918888888888889)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.13,13,MPW053,-0.105417,109.397917,Green Field,42,4 KAKI,POINT (109.39791666666667 -0.1054166666666667)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.14,14,MPW052,-0.031361,109.604722,Green Field,72,4 KAKI,POINT (109.60472222222222 -0.0313611111111111)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.15,15,MPW045,-0.052417,109.515861,Green Field,72,4 KAKI,POINT (109.51586111111111 -0.0524166666666667)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.16,16,MPW026,-0.038972,109.4135,Green Field,72,4 KAKI,POINT (109.4135 -0.0389722222222222)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.17,17,MPW036,-0.739778,109.533111,Green Field,92,4 KAKI,POINT (109.53311111111111 -0.7397777777777778)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.18,18,MPW126,-0.008556,109.196111,Green Field,72,4 KAKI,POINT (109.19611111111111 -0.0085555555555556)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.19,19,MPW060,-0.0375,109.467806,Green Field,72,4 KAKI,POINT (109.46780555555556 -0.0375)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.20,20,PTK042,-0.312583,109.15125,Green Field,72,4 KAKI,POINT (109.15125 -0.3125833333333333)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.21,21,PTK043,-0.008639,109.44925,Green Field,72,4 KAKI,POINT (109.44925 -0.0086388888888889)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.22,22,MPW067,-0.395056,109.211444,,72,4 KAKI,POINT (109.21144444444445 -0.3950555555555556)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.23,23,MPW046,-0.09325,109.227333,Green Field,62,4 KAKI,POINT (109.22733333333333 -0.09325)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.24,24,MPW058,-0.100056,109.286083,Green Field,72,4 KAKI,POINT (109.28608333333334 -0.1000555555555556)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.25,25,MPW144,-0.005306,109.270222,Green Field,42,4 KAKI,POINT (109.27022222222222 -0.0053055555555556)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.53,53,16MPW017,-0.490204,109.380673,green field,70,4 KAKI,POINT (109.38067252 -0.49020432)
