radio,mcc,net,area,cell,lon,lat,range,samples,changeable
GSM,502,12,2022,26673,101.5873,3.1572,2365,27,1
GSM,502,12,2008,38162,101.7091,3.1446,1000,23,1
GSM,502,12,2006,14132,101.7009,3.1593,1000,8,1
GSM,502,12,2021,22231,101.6064,3.1963,1114,26,1
GSM,502,12,2023,14801,101.6165,3.0416,1544,4,1
GSM,502,12,2021,53542,101.5821,3.2001,3156,26,1
GSM,502,12,2023,25288,101.5872,3.0568,1313,26,1
GSM,502,12,2023,20911,101.5811,3.06,1370,21,1
GSM,502,12,2082,20001,101.6709,3.2005,2309,21,1
GSM,502,12,2023,15152,101.5434,3.0986,1168,25,1
GSM,502,12,2023,25221,101.5529,3.0867,2089,26,1
GSM,502,12,2022,26671,101.5973,3.1583,8056,22,1
GSM,502,12,2082,20133,101.6287,3.2197,1607,23,1
GSM,502,12,2021,21241,101.6425,3.2136,9634,27,1
GSM,502,12,4180,31893,100.2786,5.4648,2121,27,1
GSM,502,12,2022,18671,101.5998,3.115,1649,23,1
GSM,502,12,2082,24571,101.6771,3.202,2231,27,1
GSM,502,12,2023,20422,101.6152,3.0721,957,27,1
GSM,502,12,2009,15232,101.7144,3.208,1386,25,1
GSM,502,12,2082,57732,101.7003,3.2187,2168,26,1
GSM,502,12,2022,9571,101.5957,3.1273,2317,23,1
GSM,502,12,2009,53473,101.7526,3.1807,690,27,1
GSM,502,12,2009,53451,101.7584,3.1853,1184,27,1
GSM,502,12,2188,14912,101.6287,3.0771,5123,25,1
GSM,502,12,2189,34353,101.6452,3.0414,1609,27,1
GSM,502,12,2010,19141,101.7448,3.147,1181,27,1
GSM,502,12,2017,3361,101.7735,3.1459,4912,26,1
GSM,502,12,2023,22463,101.5288,3.1316,3337,26,1
GSM,502,12,2006,37862,101.6799,3.1284,1018,26,1
GSM,502,12,2125,2391,101.6835,3.2531,1344,25,1
GSM,502,12,2010,25142,101.7465,3.1368,1000,14,1
GSM,502,12,2010,4943,101.7478,3.1289,3377,23,1
GSM,502,12,2007,23061,101.6922,3.1802,1450,26,1
GSM,502,12,2021,26611,101.6176,3.1833,1341,27,1
GSM,502,12,2006,37861,101.6807,3.1301,655,25,1
GSM,502,12,2188,20463,101.6071,3.0976,1581,26,1
GSM,502,12,2188,20413,101.6134,3.0986,2669,26,1
GSM,502,12,2022,9643,101.6122,3.1516,2236,26,1
GSM,502,12,2154,18301,101.5492,3.3101,1797,26,1
GSM,502,12,2010,25113,101.7334,3.1326,719,27,1
GSM,502,12,2017,22761,101.7672,3.1242,1719,26,1
GSM,502,12,9017,27501,103.3472,4.5911,6268,24,1
GSM,502,12,4182,48143,100.2817,5.2955,3374,26,1
GSM,502,12,4182,11873,100.2592,5.2942,1171,26,1
GSM,502,19,33002,37871,101.8835,5.5778,3267,19,1
GSM,502,12,2022,45712,101.6288,3.1166,1066,26,1
GSM,502,12,2022,45713,101.6279,3.1189,1159,26,1
GSM,502,12,2022,9642,101.607,3.1483,2388,26,1
GSM,502,12,2125,65361,101.6909,3.252,1850,24,1
GSM,502,12,2125,33472,101.6937,3.2513,1000,22,1
GSM,502,12,2025,62833,101.6168,2.9432,2691,27,1
GSM,502,12,2188,992,101.6476,3.0786,2974,21,1
GSM,502,12,2021,44301,101.6201,3.197,1515,21,1
GSM,502,12,2018,45241,101.7017,3.0819,3240,27,1
GSM,502,12,2018,19913,101.7155,3.0708,2950,27,1
GSM,502,12,2188,30621,101.6577,3.0849,1791,27,1
GSM,502,12,6001,62373,103.6366,1.4797,1484,22,1
GSM,502,12,2190,14851,101.5222,3.0542,2025,22,1
GSM,502,12,2190,40352,101.5187,3.0613,4202,21,1
GSM,502,12,2023,25222,101.5443,3.0815,1443,27,1
GSM,502,12,2189,30803,101.616,3.0246,1195,25,1
GSM,502,12,2242,12551,101.6198,3.0087,1537,26,1
GSM,502,12,2009,7121,101.7583,3.2027,2341,21,1
GSM,502,12,2006,37863,101.6783,3.1271,1000,22,1
GSM,502,12,2082,55241,101.6827,3.2356,1000,24,1
GSM,502,12,2022,20542,101.621,3.1525,3155,27,1
GSM,502,12,2022,9471,101.6234,3.1537,1000,21,1
GSM,502,12,4180,711,100.3121,5.4594,7732,26,1
GSM,502,12,6001,8841,103.6598,1.4969,1000,2,1
GSM,502,12,2189,26182,101.6065,3.0492,1637,26,1
GSM,502,12,2019,13602,101.8018,3.0519,2877,9,1
GSM,502,12,2082,34292,101.7039,3.2382,1462,21,1
GSM,502,12,4182,3131,100.2757,5.3874,1000,20,1
GSM,502,12,4182,56931,100.2748,5.3743,1567,22,1
GSM,502,12,2019,37302,101.7968,3.0287,5751,27,1
GSM,502,12,2010,53991,101.7528,3.1495,1215,20,1
GSM,502,12,2009,7477,101.7264,3.1643,1666,18,1
GSM,502,12,2009,54053,101.7357,3.1712,1913,27,1
GSM,502,12,2023,21722,101.5306,3.0471,1877,21,1
GSM,502,12,2023,21721,101.5404,3.0551,1831,23,1
GSM,502,12,2154,17273,101.4086,3.382,4116,23,1
GSM,502,12,2171,37983,101.6638,3.1151,2435,26,1
GSM,502,12,2020,5272,101.7364,3.0225,1646,22,1
GSM,502,12,2020,54913,101.7361,3.0216,2716,25,1
GSM,502,12,6001,65222,103.6526,1.5461,7500,24,1
GSM,502,12,6001,21563,103.6512,1.4678,1088,7,1
GSM,502,12,2021,44302,101.6204,3.1923,8926,27,1
GSM,502,12,4182,48443,100.3044,5.353,1666,25,1
GSM,502,12,2189,25422,101.6236,3.0596,3817,21,1
GSM,502,12,2025,40172,101.6633,2.9184,2847,26,1
GSM,502,12,2006,13652,101.6933,3.1626,1018,23,1
GSM,502,12,2018,15361,101.7286,3.1141,808,26,1
GSM,502,12,2171,471,101.6555,3.1114,1853,26,1
GSM,502,12,2171,522,101.6509,3.1044,7396,27,1
GSM,502,12,2188,492,101.6464,3.1018,7941,26,1
GSM,502,12,2188,22331,101.6083,3.0956,1242,25,1
GSM,502,16,23062,43282,100.9907,4.4122,5339,22,1
GSM,502,12,2021,4081,101.5418,3.1455,1110,26,1
GSM,502,12,2017,1272,101.7576,3.1203,5684,22,1
GSM,502,12,2006,18986,101.7031,3.1457,2225,22,1
GSM,502,12,2010,53961,101.7631,3.1539,3844,25,1
GSM,502,12,2188,4161,101.6511,3.1033,1543,25,1
GSM,502,12,2022,18792,101.612,3.11,1571,23,1
GSM,502,12,2006,22471,101.6913,3.1493,1664,26,1
GSM,502,12,2018,28633,101.7368,3.0997,1348,27,1
GSM,502,12,2019,1242,101.7553,3.111,1200,17,1
GSM,502,12,2022,11503,101.6248,3.147,2090,26,1
GSM,502,12,2010,54033,101.7505,3.1648,1740,26,1
GSM,502,12,2010,53993,101.747,3.1533,8428,24,1
GSM,502,12,2023,10881,101.5739,3.0622,1071,23,1
GSM,502,12,2019,8863,101.7863,3.057,1977,27,1
GSM,502,12,2082,55211,101.6959,3.2257,2846,24,1
GSM,502,12,2082,57733,101.6957,3.2186,3107,25,1
GSM,502,12,2006,13953,101.6938,3.1557,1000,24,1
GSM,502,12,2188,4121,101.6392,3.1035,8341,26,1
GSM,502,12,2189,25613,101.57,3.0546,1150,25,1
GSM,502,12,2171,24553,101.6781,3.1804,1137,25,1
GSM,502,12,2082,18323,101.6497,3.2706,1910,26,1
GSM,502,12,2022,30077,101.6173,3.147,1000,13,1
GSM,502,12,2023,46643,101.5941,3.0715,1000,24,1
GSM,502,12,2006,37743,101.692,3.1353,1718,26,1
GSM,502,12,2006,37961,101.6762,3.125,1104,24,1
GSM,502,12,2006,37962,101.6654,3.1196,6279,26,1
GSM,502,12,2020,1103,101.6809,3.0488,2197,26,1
GSM,502,12,9017,28032,103.4243,4.2443,1593,25,1
GSM,502,12,2023,1861,101.5925,3.0545,853,26,1
GSM,502,12,2023,24842,101.5938,3.0594,1058,26,1
GSM,502,12,2006,13952,101.6942,3.1561,1986,25,1
GSM,502,12,2006,29938,101.67,3.1218,1905,27,1
GSM,502,12,2010,54041,101.7525,3.1687,2095,27,1
GSM,502,12,9017,59501,103.4751,4.2875,1163,19,1
GSM,502,12,2017,3461,101.7757,3.1447,1119,27,1
GSM,502,12,9017,49152,103.42,4.2325,1632,24,1
GSM,502,12,2171,30031,101.6553,3.1162,1459,25,1
GSM,502,12,2171,30032,101.6532,3.1112,1585,22,1
GSM,502,12,2171,472,101.6525,3.1095,1952,21,1
GSM,502,12,6001,30352,103.6269,1.5546,1057,21,1
GSM,502,12,2026,52662,101.8616,2.9747,2648,25,1
GSM,502,12,6001,64002,103.6315,1.559,1077,24,1
GSM,502,12,6001,64003,103.6328,1.5605,1227,24,1
GSM,502,12,6001,19653,103.6459,1.5509,6358,27,1
GSM,502,12,6001,64081,103.6328,1.5591,1383,24,1
GSM,502,12,6001,60473,103.6515,1.5305,5506,25,1
GSM,502,12,6001,19903,103.6309,1.5519,1316,20,1
GSM,502,12,2023,28712,101.5286,3.067,739,25,1
GSM,502,12,2156,3922,101.5522,3.4225,2975,25,1
GSM,502,12,2156,4131,101.5675,3.4076,7531,24,1
GSM,502,12,4180,6301,100.3129,5.4154,500,26,1
GSM,502,12,4180,43663,100.3141,5.4183,1000,23,1
GSM,502,12,2021,15602,101.5757,3.1883,4480,22,1
GSM,502,19,31903,37952,101.8106,5.7115,1795,20,1
GSM,502,12,2082,24572,101.6747,3.201,2216,24,1
GSM,502,12,2019,5151,101.7741,3.0521,1275,27,1
GSM,502,12,4182,48591,100.3005,5.3412,2955,44,1
GSM,502,12,4182,47991,100.2983,5.3261,2854,24,1
GSM,502,19,33101,32921,103.4418,4.6199,1825,26,1
GSM,502,12,2171,10091,101.6352,3.1115,1224,26,1
GSM,502,12,2189,28381,101.6145,3.03,3225,24,1
GSM,502,12,2189,14802,101.6168,3.0347,801,26,1
GSM,502,12,2171,173,101.6455,3.1301,5868,26,1
GSM,502,12,2171,26211,101.6498,3.1318,1492,24,1
GSM,502,12,2171,26283,101.6557,3.1349,1074,25,1
GSM,502,12,2171,37752,101.6655,3.1512,3327,18,1
GSM,502,12,2171,37811,101.6725,3.1563,4339,23,1
GSM,502,12,2171,37713,101.6774,3.1494,2132,25,1
GSM,502,12,2006,13647,101.6917,3.1487,2068,26,1
GSM,502,12,2006,421,101.7001,3.1466,873,26,1
GSM,502,12,2010,2302,101.7256,3.135,895,26,1
GSM,502,12,2010,2303,101.7227,3.1382,1294,27,1
GSM,502,12,2010,15441,101.7194,3.1299,942,25,1
GSM,502,12,2008,55322,101.7173,3.1351,714,25,1
GSM,502,12,2008,25291,101.7148,3.1323,1615,22,1
GSM,502,12,2006,13631,101.6953,3.1604,725,26,1
GSM,502,12,2007,34011,101.701,3.1659,845,26,1
GSM,502,12,2007,23231,101.6916,3.1738,1262,22,1
GSM,502,12,2006,20223,101.6971,3.1611,600,26,1
GSM,502,12,2006,20222,101.6984,3.1593,1543,26,1
GSM,502,12,2188,17952,101.6039,3.0944,889,26,1
GSM,502,12,2009,17983,101.7314,3.1968,1109,23,1
GSM,502,12,2026,16883,101.7933,2.9755,2419,26,1
GSM,502,12,2026,50211,101.7806,2.94,5177,26,1
GSM,502,12,2009,29783,101.7068,3.2191,5759,11,1
GSM,502,12,2009,15241,101.7152,3.2165,3352,27,1
GSM,502,12,2006,382,101.6941,3.1341,1319,26,1
GSM,502,12,2171,473,101.6533,3.1101,2985,23,1
GSM,502,12,2171,523,101.6524,3.1102,1827,26,1
GSM,502,12,2023,10882,101.5685,3.0603,2082,26,1
GSM,502,12,2018,1673,101.6779,3.0817,2499,26,1
GSM,502,12,2022,45603,101.594,3.1182,2275,25,1
GSM,502,12,2025,17061,101.6756,2.9915,1740,26,1
GSM,502,12,2026,53043,101.7737,2.9325,1029,25,1
GSM,502,12,2025,2003,101.6763,2.9885,3685,27,1
GSM,502,12,2021,21281,101.6071,3.2056,2903,26,1
GSM,502,12,2018,29472,101.7047,3.1027,1002,27,1
GSM,502,12,2021,21283,101.5981,3.1993,2244,26,1
GSM,502,12,2022,9462,101.6224,3.1475,3995,24,1
GSM,502,12,2026,54468,101.7632,2.9399,1721,26,1
GSM,502,12,2020,54951,101.7684,3.0307,2240,26,1
GSM,502,12,2008,55311,101.7156,3.133,1063,27,1
GSM,502,12,2021,21282,101.6072,3.1978,2096,24,1
GSM,502,12,2189,25243,101.6478,3.0651,1140,26,1
GSM,502,12,2021,21391,101.6069,3.1904,1205,20,1
GSM,502,12,2021,21423,101.6106,3.188,1386,27,1
GSM,502,16,22092,53489,101.9272,3.9799,7034,27,1
GSM,502,16,22092,53650,102.0155,4.1449,3273,27,1
GSM,502,12,2242,1541,101.6191,3.0189,8586,26,1
GSM,502,12,2022,9512,101.6161,3.1476,1000,7,1
GSM,502,12,2010,15443,101.7169,3.1339,1302,26,1
GSM,502,12,2008,31492,101.7109,3.1395,500,26,1
GSM,502,12,2022,63,101.5662,3.154,1380,26,1
GSM,502,12,2021,9341,101.5445,3.2054,1589,25,1
GSM,502,12,9017,22593,103.4291,4.2243,1405,25,1
GSM,502,12,9017,22591,103.4315,4.2385,5075,13,1
GSM,502,12,9017,49151,103.4232,4.2305,1000,24,1
GSM,502,12,9017,27812,103.4308,4.2256,2213,19,1
GSM,502,12,2025,17073,101.6649,3.0029,1504,27,1
GSM,502,12,2188,14913,101.625,3.0841,1312,24,1
GSM,502,12,2188,10003,101.6435,3.0999,1000,24,1
GSM,502,12,2023,24813,101.5895,3.0736,1451,24,1
GSM,502,12,2010,15342,101.7227,3.1198,3856,22,1
GSM,502,12,2154,38051,101.5003,3.2088,5871,23,1
GSM,502,12,2125,10921,101.7169,3.2342,4338,27,1
GSM,502,12,2023,25287,101.5828,3.0525,1000,23,1
GSM,502,12,2018,20933,101.6751,3.0989,1162,27,1
GSM,502,12,2029,4391,101.3873,2.9802,3364,26,1
GSM,502,12,2029,1853,101.3894,2.9766,3335,26,1
GSM,502,12,2029,4392,101.3932,2.9672,2833,26,1
GSM,502,12,2023,12492,101.5864,3.0703,1598,26,1
GSM,502,12,2022,26331,101.6287,3.1146,1490,24,1
GSM,502,12,2023,1673,101.5981,3.0721,1096,21,1
GSM,502,12,2031,16621,101.4521,3.0584,1040,26,1
LTE,502,12,11804,66732035,101.687,3.1355,1069,9,1
